scope,metric,count,total,fraction,note
summary,primary_states_examined,45,45,1.0,distinct primary chart states on the bounded lawful H_v8 surface
summary,distinct_spin_H_core_v3_states_reached,38315,45,851.4444444444445,distinct canonical parent transport-side core states with sigma**
summary,collision_count,0,45,0.0,many-to-one collisions from primary chart states into canonical parent transport-side core states
summary,recursive_consistency_rate,38315,38315,1.0,fraction of parent core states whose lawful component updates remain canonical
summary,distinct_spin_classes_represented,16,16,1.0,distinct projected spin_h4 classes derived from sigma**
summary,distinct_radial_classes_represented,3,3,1.0,distinct radial classes represented in rho
projection,spin_h4_derivable_from_parent,1,1,1.0,Pi_pred(spin_H_core_v3) -> spin_h4 via derived mode_orbit[current_residue]
projection,tau_derivable_from_parent,1,1,1.0,Pi_rec(spin_H_core_v3) -> tau
projection,kappa_derivable_from_parent,1,1,1.0,Pi_hol(spin_H_core_v3) -> kappa
projection,mode_orbit_derived_from_global_regressive_mode_index,1,1,1.0,mode_orbit is derived from sigma**.global_regressive_mode_index.seed_orbit
projection,sigma_carries_nonlocal_parent_mode_identity,1,1,1.0,sigma** carries generator-action profile beyond local orbit presentation
representation,theta_explicit,1,1,1.0,"theta = (b, phi) exists explicitly"
representation,rho_explicit,1,1,1.0,rho exists explicitly
representation,sigma_starstar_explicit,1,1,1.0,sigma** exists explicitly with global_regressive_mode_index
representation,h_explicit,1,1,1.0,h exists explicitly
comparison_vs_v2,collision_change,0,0,0.0,change in collisions relative to spin_H_core_v2
comparison_vs_v2,recursive_consistency_change,0,38315,0.0,change in recursive consistency relative to spin_H_core_v2
comparison_vs_v2,distinct_state_count_change,0,38315,0.0,change in distinct parent core states relative to spin_H_core_v2
update_law,hold,38315,38315,1.0,dominant_component_delta=theta0_rho0_sigma0_h0
update_law,torus_base_advance,38315,38315,1.0,dominant_component_delta=theta1_rho0_sigma0_h0
update_law,composite_swap,38098,38315,0.994336421766932,dominant_component_delta=theta0_rho0_sigma1_h1
update_law,coupled_torus_kick,22231,38315,0.5802166253425551,dominant_component_delta=theta1_rho1_sigma1_h1
update_law,composite_twist,38315,38315,1.0,dominant_component_delta=theta0_rho1_sigma1_h1
update_law,fiber_phase_lift_spin_transport,38315,38315,1.0,dominant_component_delta=theta1_rho1_sigma1_h1
update_law,radial_transport_unfolding,28873,38315,0.7535690982643873,dominant_component_delta=theta1_rho1_sigma1_h1
