metric,value,note
Ty_depends_on_spin_H_core_v6,yes,"composite_twist_component_v25 imports active_transport_lift_core_v6, sigma_update_v6, project_tau_v6 from geometry_native_spinH_core_v6; sigma_update_v6 dispatches 'composite_twist' to R_Ty_v6"
Ty_stale_pre_v6_dependency_removed,yes,"geometry_native_operator_model_v25 does not import composite_twist_component_v10, composite_twist_component_v4, or any pre-v6 sigma call for T_y; twist_phase_v3 is no longer used for this component (its fixed-increment logic is replaced by sigma-mediated twist_phase via R_Ty_v6)"
Ty_rebuild_local_only,yes,"only composite_twist_component_v10 was replaced; all other components (hold_v10, torus_base_advance_v23, composite_swap_v24, coupled_torus_kick_v20, fiber_phase_lift_v21, radial_transport_v22) were copied forward unchanged from v24"
Ty_bounded_audit_passed,yes,"lawful_fraction=1.0000 illegal_count=0; lawful check verifies target.b == source.b, target.r == source.r, target.phi == source.phi, target.spin_h.horizon == source.spin_h.horizon, target.twist == 1 - source.twist"
non_Ty_paths_match_v24,yes,"the six non-T_y components (hold, torus_base_advance, composite_swap, coupled_torus_kick, fiber_phase_lift_spin_transport, radial_transport_unfolding) were copied forward unchanged from v24; bounded audit confirms each component's entry count equals state_count, satisfying the structural invariant that every state has exactly one transition per component"
Ty_only_behavioral_delta_confirmed,yes,non-T_y parity holds; any count differences between v24 and v25 are sourced solely from composite_twist
state_count,525355,"reachable states with all six non-hold operators rebuilt from spin_H_core_v6: T_c (v20), T_z' (v21), T_r* (v22), T_b (v23), T_x (v24), T_y (v25)"
transition_count,3677485,nonzero operator entries with all six core-v6-derived components
lawful_fraction,1.000000,fraction of nonzero operator entries that are lawful
illegal_count,0,number of illegal transitions
class_diversity,34560,distinct tau-aware target class identities reached
distinct_spin_classes_reached,16,distinct target spin classes reached
distinct_radial_classes_reached,3,distinct target radial classes reached
state_count_change_vs_v24,2680,reachable state change vs v24 (T_x from spin_H_core_v6): v24=522675
transition_count_change_vs_v24,18760,transition count change vs v24: v24=3658725
class_diversity_change_vs_v24,0,class diversity change vs v24: v24=34560
spin_diversity_change_vs_v24,0,spin diversity change vs v24: v24=16
radial_diversity_change_vs_v24,0,radial diversity change vs v24: v24=3
component_hold_count,525355,operator entries for hold
component_torus_base_advance_count,525355,operator entries for torus_base_advance
component_composite_swap_count,525355,operator entries for composite_swap
component_coupled_torus_kick_count,525355,operator entries for coupled_torus_kick
component_composite_twist_count,525355,operator entries for composite_twist
component_fiber_phase_lift_spin_transport_count,525355,operator entries for fiber_phase_lift_spin_transport
component_radial_transport_unfolding_count,525355,operator entries for radial_transport_unfolding
