component,intended_architecture,implemented_status,evidence,audit_verdict
"phase-fiber-scale chart `(b,phi,r)`","Exact orbit chart and computational coordinate","Present only as small discrete counters updated by token-specific delta tables","geometry_native_sequence_model_v3.py:78-79, 164-167","Present but weakened into categorical bookkeeping rather than native transport coordinates"
"predictive residual `next_return_gap`","Minimal dynamic refinement tag inside routing state","Present as one more categorical slot in snapshot features","geometry_native_sequence_model_v3.py:167, 225-241; prime_transport_routing_abstraction.md:147-154","Present, but used as a feature label more than as transported predictive structure"
"spin / orbit predictive state","`spin_H(j)` or comparable orbit-native predictive compression","Absent from the sequence-model implementation","prime_transport_exact_layer_consolidated.md:30-36; rg over geometry_native_sequence_model_v*.py found no spin/orbit usage","Missing"
"bundle / Hopf / router chart construction","True bundle/orbit chart construction in the computation path","Not used by the sequence-model line","rg over geometry_native_sequence_model_v*.py found no hyperbolic_router_so8/Hopf imports; router code lives in hyperbolic_router_so8.py","Missing from this line"
"admissibility / filter logic","Constraint on sequence evolution from transport orbit admissibility","Absent beyond tracked counters like `next_return_gap`","generate_dataset_v3 in geometry_native_sequence_model_v3.py:175-211 samples tokens from fixed weights; no admissibility gate","Missing"
"core learned computation","Geometry-native transport as the main engine","Actually a flattened snapshot encoder plus MLP readout","geometry_native_sequence_model_v3.py:225-241, 284-349","Approximation only"
"composite / semiprime / divisibility transport","Native transport layer in state","Implemented only as temporary rewrites of referent fields","geometry_native_sequence_model_v11.py:52-132; geometry_native_sequence_model_v12.py:242-304","Indirect only"
"orbital / spin charts as coordinates","Computational coordinates for downstream inference","Mostly absent; later wrappers choose among alternate feature views instead","geometry_native_sequence_model_v14.py:45-56; geometry_native_sequence_model_v21.py:53-166; geometry_native_sequence_model_v29-v33.py","Only approximated by wrapper logic"
"compositional primitives `(a+b,a-b,a*b)`","Native transport primitives or equivalent compositional state algebra","Not part of the inner sequence-model state/update path; only appear in late wrapper-style interaction features","geometry_native_sequence_model_v33.py:84-158","Missing from inner representation"
"single most likely gap","Inner architecture should carry orbit-native predictive transport","Current line keeps wrapping snapshot features instead of rebuilding state","Combined evidence from exact-layer docs and geometry_native_sequence_model_v3/v11-v33","Rebuild part of the inner representation"
