scope,metric,value,note
single_step,R_I_structurally_appropriate,yes,"Exact identity on sigma"
single_step,R_Tb_structurally_appropriate,yes,"Acts as transport-wide phase shift on sigma"
single_step,R_Tx_structurally_appropriate,yes,"Acts as swap-sensitive sigma update"
single_step,R_Tc_structurally_appropriate,yes,"Acts as coupled sigma update with direct mode mixing"
single_step,R_Ty_structurally_appropriate,yes,"Acts as twist/parity-sensitive reverse-rotate sigma update"
single_step,R_Tz_structurally_appropriate,yes,"Acts as lift-sensitive sigma update"
single_step,R_Tr_structurally_appropriate,yes,"Plausible in isolation as radial/unfolding sigma update"
composition,R_Tz_after_R_Tr_exact_agreement_count,0,"No exact agreement with reverse order on bounded lawful surface"
composition,R_Tc_after_R_Tr_exact_agreement_count,0,"No exact agreement with reverse order on bounded lawful surface"
composition,R_Ty_after_R_Tr_exact_agreement_count,8983,"Partial exact agreement with reverse order on bounded lawful surface"
composition,primary_family_defect,missing_composition_holonomy_law,"Radial interaction lacks coherent family-level composition constraint"
diagnosis,current_R_G_family_is_coherent_regressive_action,no,"Single-step maps are plausible but family composition around radial transport is not coherent"
diagnosis,radial_problem_isolated_to_R_Tr_alone,no,"Defect appears in radial interaction with lift and coupled maps, not only in R_Tr alone"
next_step,primitive,sigma_family_holonomy_law,"Add family-level composition constraint for radial interaction before any behavior run"
