scope,field,value,note
observed_failure,primary_states_examined,15,"Distinct primary chart states on bounded lawful operator surface."
observed_failure,distinct_transport_identities_reached,131,"Distinct transport identities reached under active spin_H_candidate lift."
observed_failure,collision_count,0,"Primary-state collisions are already eliminated on the bounded surface."
observed_failure,ambiguity_count,15,"Every examined primary chart branches into multiple lawful transport identities."
observed_failure,recursive_consistency_rate,0.0,"No primary chart retains a single canonical transport identity under lawful iteration."
branching_classification,branching_axis,operator_word_history_in_primary_chart_stabilizer,"Branching is caused by hidden lawful path differences, not by changes in b, phi, or r."
branching_classification,angular_identity_branching,no,"b is fixed across branches of the same primary chart."
branching_classification,fiber_identity_branching,no,"phi is fixed across branches of the same primary chart."
branching_classification,radial_identity_branching,no,"r is fixed across branches of the same primary chart."
branching_classification,spin_identity_branching,yes,"Branches differ mainly by lawful spin-side state."
missing_information,current_spinH_candidate,"(phi,r,spin_h4)","Current structured candidate already carries angular, radial, and short predictive structure."
missing_information,missing_component,recursive_transport_phase_class_tau,"Missing component must distinguish lawful recursive branches at fixed primary chart."
missing_information,why_prefix_is_insufficient,"prefix_only_or_longer_prefix_cannot_record_stabilizer_path_residue","Observed failure is recursive branching, not simple prefix collision."
closure_variable,name,tau,"Single missing recursive-closure variable."
closure_variable,type,operator_word_residue_mod_primary_chart_stabilizer,"One structured transport-side variable, possibly tuple-valued internally."
update_law,I,"tau' = tau","Identity leaves recursive transport phase unchanged."
update_law,T_b,"tau' = tau","Pure base advance changes pointing but not stabilizer branch class."
update_law,T_x,"tau' = swap_phase(tau)","Composite swap changes ordered composite branch residue."
update_law,T_c,"tau' = coupled_phase(tau, query_semiprime, binding_semiprime)","Coupled kick updates branch phase from ordered composite interaction."
update_law,T_y,"tau' = twist_phase(tau)","Composite twist changes hidden relational branch class."
update_law,T_z_prime,"tau' = lift_phase(tau, phi, spin_h4)","Lawful lift changes fiber/spin transport orbit and must advance branch phase."
justification,preferred_next_primitive,recursive_transport_phase_class_tau,"More justified than more prefix length, representative selection, or more operator tweaking."
honesty,current_spinH_candidate_has_recursive_closure,no,"Recursive consistency rate is 0.0."
honesty,exact_missing_component_for_recursive_closure,"Current spin_H_candidate is missing the recursive transport-phase class tau that records lawful stabilizer-path residue under repeated operator iteration.","One-sentence required answer."
next_step,recommendation,"Implement the smallest spin_H augmentation that adds tau as an explicit transport-side state component with generator-specific update rules.","Do this before more operator or benchmark work."
