scope,metric,value,status,note
component,theta,"angular identity = (b, phi)",likely_canonical,"direct chart coordinates; not a summary patch"
component,rho,"radial_class, unfolding_load, radial_direction, radial_target, radial_target_phi",bounded_surrogate,"radial/unfolding object is structurally meaningful but still bounded by current radial law"
component,sigma,"regressive_word, fiber_mode_word, radial_mode_word",weakest_bounded_surrogate,"word-based predictive shell rather than canonical regressive mode"
component,h,"recursive_phase, fiber_recursive_phase, radial_recursive_phase, holonomy_bit",bounded_surrogate,"closure and holonomy carrier works on bounded surface but remains phase-summary based"
diagnosis,weakest_component,sigma,selected,"single next component to refine"
diagnosis,sigma_true_regressive_mode,no,selected,"sigma is not yet a true regressive spin mode"
diagnosis,sigma_current_role,"bounded predictive surrogate",selected,"current/fiber/radial words act as predictive summaries"
diagnosis,sigma_missing_information,"non-bounded recursive spin-mode carrier",selected,"missing parent mode whose projections yield the observed words"
diagnosis,weakest_update_law_status,"structurally correct but bounded",selected,"generator responses are placed correctly but the carried object is still a bounded word shell"
primitive,next_primitive,canonical_regressive_sigma_mode,selected,"smallest direct refinement inside spin_H_core_v1"
honesty,weakest_bounded_surrogate,sigma,selected,"required user-facing answer"
honesty,is_sigma_true_regressive_mode,no,selected,"required user-facing answer"
honesty,what_sigma_is,"bounded predictive surrogate made of current/fiber/radial mode words",selected,"one-sentence required answer"
