scope,metric,value,status,note
sigma_star,mode_orbit,"canonical sorted orbit of current/fiber/radial bounded spin observables",current,"canonicalized local observable orbit"
sigma_star,current_residue,"index of current bounded predictive observable inside mode_orbit",current,"placement of Pi_pred view"
sigma_star,fiber_residue,"index of fiber-transported bounded observable inside mode_orbit",current,"local fiber placement inside bounded orbit"
sigma_star,radial_residue,"index of radial-transported bounded observable inside mode_orbit",current,"local radial placement inside bounded orbit"
gap,primary_missing_ingredient,global_regressive_mode_index,selected,"single missing parent mode identity across lawful generator composition"
gap,why_sigma_star_is_still_bounded,"missing recursive/global mode carrier",selected,"decisive cause beyond bounded observables and bounded orbit construction"
gap,why_sigma_star_is_better_than_spin_h4,"multi-view bounded mode presentation",selected,"organizes several lawful observable views rather than one predictive word"
gap,why_sigma_star_is_not_canonical,"no nonlocal parent mode identity",selected,"stores local orbit presentation rather than parent regressive mode"
update_law,I,preserve,selected,"global mode index unchanged under hold"
update_law,T_b,preserve,selected,"global mode index unchanged under base advance"
update_law,T_x,swap_action,selected,"apply lawful swap action to global regressive mode index"
update_law,T_c,coupled_action,selected,"apply lawful coupled transport action to global regressive mode index"
update_law,T_y,twist_action,selected,"apply lawful twist action to global regressive mode index"
update_law,T_z_prime,lift_action,selected,"apply lawful lift action to global regressive mode index"
update_law,T_r_star,radial_action,selected,"apply lawful radial-unfolding action to global regressive mode index"
honesty,is_sigma_star_full_canonical_regressive_mode,no,selected,"required user-facing answer"
honesty,exact_missing_thing,"global regressive mode index carrying nonlocal parent mode identity across lawful generator composition",selected,"one-sentence required answer"
honesty,what_sigma_star_currently_is,"bounded canonicalized orbit-plus-residue presentation of local predictive observables",selected,"one-sentence required answer"
primitive,next_step,global_regressive_mode_index,selected,"smallest code step to refine sigma* toward canonical regressive spin_H"
