category,id,subject,operational_definition,current_code_status,directly_comparable,lawful_lift,required_preservation,on_failure
native_class,C1,radial_class,"r",present,only_if_equal,radial_lift,"fiber_class; spin horizon; spin prefix; anchor factor; composite_compat_class","reject comparison if unequal and no radial_lift"
native_class,C2,fiber_class,"phi",present,only_if_equal,fiber_refinement_lift,"radial_class; spin horizon; anchor factor; composite_compat_class","reject comparison if unequal and no fiber_refinement_lift"
native_class,C3,spin_class,"spin_H or explicit spin_h",missing_exact_variable,only_if_equal,spin_truncation_lift,"radial_class; fiber_class; compatibility class; spin prefix","raise INCOMPLETE_STATE_TYPING if spin_H/spin_h absent where needed"
native_class,C4,composite_compat_class,"ordered shared-prime masks over {2,3,5} for (query,binding)",partially_present,only_if_equal,compatibility_normalization_lift,"prime-support mask; anchor factor; radial_class; fiber_class; spin_class","reject comparison if unequal and no compatibility_normalization_lift"
native_class,C5,shape_class,"repeated_prime or mixed_semiprime from factor pair",computable_not_primary,no,none,"must not substitute for fiber_class","raise TYPE_CONFUSION if used as fiber_class"
comparison,K1,direct_comparison,"same radial_class; same fiber_class; same spin horizon; same spin_class; same composite_compat_class",not_enforced,yes_if_all_match,none,"all four primary identities","refuse scoring"
comparison,K2,radial_cross_class,"states differ in r",not_enforced,no,radial_lift,"fiber_class; spin prefix; anchor factor; composite_compat_class","forbidden if radial_lift absent"
comparison,K3,fiber_cross_class,"states differ in phi",not_enforced,no,fiber_refinement_lift,"radial_class; anchor factor; composite_compat_class; spin horizon","forbidden if fiber_refinement_lift absent"
comparison,K4,spin_cross_class,"states differ in spin_H or spin_h",not_enforced,no,spin_truncation_lift,"radial_class; fiber_class; compatibility class; spin prefix","forbidden if spin_truncation_lift absent"
comparison,K5,compat_cross_class,"states differ in composite_compat_class",partially_enforced_in_r7,no,compatibility_normalization_lift,"prime-support mask; anchor factor; radial_class; fiber_class; spin_class","forbidden if compatibility_normalization_lift absent"
transport,T1,within_class_transport,"ordinary move preserving all four primary identities",not_enforced,yes,none,"anchor factor retained; next composite shares anchor; composite_compat_class preserved; spin horizon preserved; spin_class preserved","reject candidate before scoring"
transport,T2,radial_lift_transport,"named move changing r only through explicit lift",missing,no,radial_lift_transport,"anchor factor; fiber_class; composite_compat_class; transported spin word","raise INCOMPATIBLE_CLASS_BOUNDARY if missing"
transport,T3,fiber_refinement_transport,"named move changing phi only through explicit refinement map",missing,no,fiber_refinement_transport,"r; anchor factor; composite_compat_class; transported spin word","raise INCOMPATIBLE_CLASS_BOUNDARY if missing"
transport,T4,spin_lift_transport,"named move changing spin only through admissibility-word update law",missing,no,spin_lift_transport,"radial_class; fiber_class; composite_compat_class","raise INCOMPATIBLE_CLASS_BOUNDARY if missing"
transport,T5,forbidden_transport,"ordinary candidate changes radial or fiber or spin or compatibility class without named lift",currently_allowed_in_prior_branches,no,none,"n/a","reject candidate and refuse fallback"
failure,F1,reject_candidate,"candidate violates direct comparison rule for ordinary transport",not_enforced,n/a,n/a,"n/a","reject before scoring"
failure,F2,incompatibility_state,"no legal candidate remains or required class variable/lift is missing",not_enforced,n/a,n/a,"n/a","raise INCOMPATIBLE_CLASS_BOUNDARY"
failure,F3,refuse_fallback,"all remaining options are illegal or only incompatible candidates exist",not_enforced,n/a,n/a,"n/a","do not argmax; refuse fallback"
failure,F4,refuse_scoring,"candidate/source pair not directly comparable and not lifted",not_enforced,n/a,n/a,"n/a","refuse scoring"
gate,G1,pre_generation,"state must expose (radial_class,fiber_class,spin_identity,composite_compat_class)",not_enforced,n/a,n/a,"n/a","stop with INCOMPLETE_STATE_TYPING"
gate,G2,pre_scoring,"every candidate must declare transport type: within_class or named lift",not_enforced,n/a,n/a,"n/a","stop with UNDECLARED_TRANSPORT_TYPE"
gate,G3,legality_filter,"ordinary candidates must match source on radial,fiber,spin,compatibility",not_enforced,n/a,n/a,"n/a","reject candidate before scoring"
gate,G4,pool_separation,"within-class candidates and lift candidates may not share one scoring pool",not_enforced,n/a,n/a,"n/a","stop and choose transport family first"
gate,G5,pre_update,"selected candidate must satisfy invariants for declared transport type",not_enforced,n/a,n/a,"n/a","raise INVALID_TRANSPORT_SELECTION"
gate,G6,post_update,"recomputed class tuple must match declared transport relation",not_enforced,n/a,n/a,"n/a","raise POST_UPDATE_CLASS_VIOLATION"
honesty,H1,prior_branch_violation,"r5-r7 allowed scoring across incompatible class boundaries without explicit lifts",yes,n/a,n/a,"single most important invariant: no shared scoring pool across class boundaries without lawful lift","framework should have hard-stopped those branches"
next,N1,single_next_step,"implement one legality gate module computing native class tuples and blocking illegal scoring",recommended,n/a,n/a,"enforce direct comparison or named lift before scoring","do this before any further rebuild or experiment"
