section,id,object,definition_or_rule,current_variable_mapping,status_or_type,notes
primary_space,P1,primary_chart,"exact finite-depth chart j -> (b,phi,r)","b; phi; r",exact,"primary torus angle is b, fiber refinement is phi, radial layer is r"
primary_space,P2,base_angle,"same cross-space angle iff same b","b",exact_discrete_modular,"stable pointing identity across primary and transformed spaces"
primary_space,P3,refined_angle,"same refined angle iff same (b,phi)","b; phi",exact_fiber_refined,"phi refines angle but is not the primary cross-space angle itself"
transport_space,T1,transport_chart,"best exact transport state is (b, spin_H)","b; spin_h",hybrid_transport_chart,"implemented line carries truncated spin_h rather than full spin_H"
transport_space,T2,transport_payload,"coupled transport payload attached to transport chart","query_semiprime; binding_semiprime; composite_compat_class",attached_payload,"not itself the transport coordinate system"
transport_space,T3,missing_transport_coordinate,"full transformed-space realization requires explicit primary-to-transport lift and full spin_H","none",missing,"current code uses proxies such as spin_h and next_return_gap"
angular_law,A1,same_angle,"preserve b across spaces","b",lawful_identity,"phi, r, spin, and compatibility may change under named lift while b stays fixed"
angular_law,A2,angle_type,"angle is discrete, modular, fiber-refined","b; phi",structural_type,"not continuous Euclidean angle"
radial_law,R1,primary_radial,"radial_class = r","r",exact_primary_radial,"wheel depth and multiplicative layer"
radial_law,R2,transport_radial,"transport radial means primary depth plus predictive unfolding depth","r; spin_h",proxy_only,"current r is exact in primary chart but weak in transformed transport space"
radial_law,R3,missing_radial_primitive,"faithful radial transport needs full spin_H or explicit unfolding map","none",missing,"cannot be derived from r alone"
spin_law,S1,spin_identity,"spin_H(j) is future admissibility word along exact orbit","spin_h",truncated_shadow,"current implementation carries explicit truncation only"
spin_law,S2,spin_role,"spin refines dynamic branch identity inside fixed (b,phi,r) chart sector","spin_h",predictive_transport_identity,"spin is neither angle nor radius"
spin_law,S3,missing_spin_information,"full spin_H carries longer return grammar and deeper visible-splitting structure","none",missing,"truncated spin_h loses tail information beyond horizon"
comparison,C1,direct_compare,"direct compare only if same r, phi, spin horizon/value, and composite_compat_class","r; phi; spin_h; composite_compat_class",framework_lock,"otherwise comparison is forbidden"
comparison,C2,lift_compare,"cross-class compare only through named lift","radial_lift; fiber_refinement_lift; spin_truncation_lift; compatibility_normalization_lift",framework_lock,"no shared scoring pool across class boundaries"
transport,X1,within_class_transport,"preserve r, phi, spin class at horizon, and composite_compat_class","current within-class generators",lawful_transport,"ordinary transport family"
transport,X2,cross_class_transport,"cross-class transport requires named cross-space law","T_z' partial only",partial,"fiber lift with spin transport exists, radial lift does not"
operator_guidance,O1,I,"identity component","I",geometry_derived,"required in any lawful operator algebra"
operator_guidance,O2,T_b,"base odometer advance","T_b",geometry_derived,"direct shadow of primary torus advance"
operator_guidance,O3,T_x,"composite swap symmetry","T_x",proxy_derived,"bounded coupled symmetry, not yet derived from cross-space map"
operator_guidance,O4,T_c,"coupled torus kick","T_c",ad_hoc_under_specified,"coupled but not derived from explicit geometry"
operator_guidance,O5,T_y,"composite twist","T_y",ad_hoc_under_specified,"new relational axis not yet in frozen cross-space geometry"
operator_guidance,O6,T_z_prime,"fiber lift with spin transport","T_z'",proxy_derived,"first explicit lawful lift, but built from truncated spin_h shadow"
missing_primitive,M1,primary_to_transport_lift,"typed map from (b,phi,r,payload) to transformed transport coordinates (b,spin_H) or declared truncation","none",single_most_important_missing_primitive,"required so future operators derive from geometry rather than local lawful invention"
honesty,H1,recent_operator_branches,"recent operators were not derived from the full cross-space geometry","v1-v8 operator line",no,"they are lawful but still only partially grounded in the missing lift map"
