metric,value,note
Tb_depends_on_spin_H_core_v6,yes,"torus_base_advance_component_v23 imports active_transport_lift_core_v6, sigma_update_v6, project_tau_v6 from geometry_native_spinH_core_v6; sigma_update_v6 dispatches 'torus_base_advance' to R_Tb_v6"
Tb_stale_pre_v6_dependency_removed,yes,"geometry_native_operator_model_v23 does not import torus_base_advance_component_v10, torus_base_advance_component_v4, or any pre-v6 sigma call for T_b; update_tau_v3 is no longer used for this component"
Tb_rebuild_local_only,yes,"only torus_base_advance_component_v10 was replaced; all other components (hold_v10, composite_swap_v10, coupled_torus_kick_v20, composite_twist_v10, fiber_phase_lift_v21, radial_transport_v22) were copied forward unchanged from v22"
Tb_bounded_audit_passed,yes,"lawful_fraction=1.0000 illegal_count=0; lawful check verifies target.b != source.b, target.r == source.r, target.phi == source.phi, target.spin_h.horizon == source.spin_h.horizon"
non_Tb_paths_match_v22,yes,"the six non-T_b components (hold, composite_swap, coupled_torus_kick, composite_twist, fiber_phase_lift_spin_transport, radial_transport_unfolding) were copied forward unchanged from v22; bounded audit confirms each component's entry count equals state_count, satisfying the structural invariant that every state has exactly one transition per component"
Tb_only_behavioral_delta_confirmed,yes,non-T_b parity holds; any count differences between v22 and v23 are sourced solely from torus_base_advance
state_count,287342,"reachable states with T_c (v20), T_z' (v21), T_r* (v22), T_b (v23) rebuilt from spin_H_core_v6"
transition_count,2011394,nonzero operator entries with four core-v6-derived transport/base components
lawful_fraction,1.000000,fraction of nonzero operator entries that are lawful
illegal_count,0,number of illegal transitions
class_diversity,34560,distinct tau-aware target class identities reached
distinct_spin_classes_reached,16,distinct target spin classes reached
distinct_radial_classes_reached,3,distinct target radial classes reached
state_count_change_vs_v22,63985,reachable state change vs v22 (T_r* from spin_H_core_v6): v22=223357
transition_count_change_vs_v22,447895,transition count change vs v22: v22=1563499
class_diversity_change_vs_v22,0,class diversity change vs v22: v22=34560
spin_diversity_change_vs_v22,0,spin diversity change vs v22: v22=16
radial_diversity_change_vs_v22,0,radial diversity change vs v22: v22=3
component_hold_count,287342,operator entries for hold
component_torus_base_advance_count,287342,operator entries for torus_base_advance
component_composite_swap_count,287342,operator entries for composite_swap
component_coupled_torus_kick_count,287342,operator entries for coupled_torus_kick
component_composite_twist_count,287342,operator entries for composite_twist
component_fiber_phase_lift_spin_transport_count,287342,operator entries for fiber_phase_lift_spin_transport
component_radial_transport_unfolding_count,287342,operator entries for radial_transport_unfolding
